pair,labels,function,R1_mean,R2_mean,winner,p_value,cohens_d,significant,R3_mean,R4_mean,R5_mean,R8_mean,R6_mean,R7_mean
R3↔R4,3,F21,,,R4-3L,0.2473819107683185,0.048832379743374524,False,-5.786838868953625,-5.95547933302601,,,,
R3↔R4,3,F22,,,R4-3L,0.07524843047815305,0.1117805509775814,False,-6.625472491494768,-7.025393694053523,,,,
R3↔R4,3,F23,,,R4-3L,0.26512040874028564,0.05508910234938608,False,-6.136151998832329,-6.338488734179379,,,,
R3↔R4,5,F1,,,R4-5L,1.4018463184347286e-11,5.403759829596718,True,11716.290489782354,2300.677474770215,,,,
R3↔R4,5,F5,,,R4-5L,1.4018463184347286e-11,4.197636460932305,True,2879396.627766072,169138.80028060093,,,,
R3↔R4,5,F11,,,R4-5L,1.4018463184347286e-11,7.114832973267408,True,109.65729701458729,21.669758419204204,,,,
R3↔R4,5,F21,,,R4-5L,0.12038791974511381,0.25892715418761897,False,-5.158814701735527,-6.098284860608677,,,,
R3↔R4,5,F22,,,R4-5L,0.47170738477172947,0.22508747374193094,False,-5.500189926387924,-6.295503126066671,,,,
R3↔R4,5,F23,,,R4-5L,0.29683381983562407,0.21035651141330095,False,-5.9479336250688375,-6.71742609846714,,,,
R5↔R8,3,F1,,,R5-3L,2.2729072032989516e-11,-3.502830001227976,True,,,58.09151844175311,244.57366896180085,,
R5↔R8,3,F5,,,R5-3L,1.874486648908326e-11,-3.911317536727881,True,,,2151.3196974169678,8719.721531205512,,
R5↔R8,3,F11,,,R5-3L,1.4018463184347286e-11,-3.414230309758799,True,,,1.4828519899818469,2.953074512205701,,
R5↔R8,3,F21,,,R5-3L,0.05901141111973455,-0.2847970987562308,False,,,-6.515064622109276,-5.542700081145677,,
R5↔R8,3,F22,,,R8-3L,0.5385894749921805,0.0646519603973039,False,,,-6.17830318082955,-6.411359935094557,,
R5↔R8,3,F23,,,R5-3L,0.19106884459618,-0.10096459847461771,False,,,-6.493160482189756,-6.108140498249116,,
R5↔R8,5,F1,,,R5-5L,5.888668049571935e-11,-3.512281204990682,True,,,47.65105747329347,258.3615212174331,,
R5↔R8,5,F5,,,R5-5L,1.4018463184347286e-11,-5.122485417327135,True,,,1462.0892655892999,10627.478309639644,,
R5↔R8,5,F11,,,R5-5L,1.4018463184347286e-11,-4.4597568192226165,True,,,1.3995767508912789,3.273195857135919,,
R5↔R8,5,F21,,,R5-5L,0.12858430443141097,-0.3041431802450942,False,,,-6.195649149213465,-5.150577148672154,,
R5↔R8,5,F22,,,R8-5L,0.8800919706053125,0.11404104317801236,False,,,-5.057597745458399,-5.4427201398547576,,
R5↔R8,5,F23,,,R5-5L,0.6641463653213662,-0.08879986253755713,False,,,-5.5327361412906955,-5.205413111578548,,
R6↔R7,3,F1,,,R6-3L,1.4018463184347286e-11,-7.22745986142277,True,,,,,111.3125205444781,11826.522175063361
R6↔R7,3,F5,,,R6-3L,1.4018463184347286e-11,-3.5881660035402825,True,,,,,3911.191670988703,3117785.1638910943
R6↔R7,3,F11,,,R6-3L,1.4018463184347286e-11,-6.516552444333366,True,,,,,2.009707036215814,109.42045148951634
R6↔R7,3,F21,,,R7-3L,0.11202580008394913,0.1590233911148673,False,,,,,-6.112362302685442,-6.676576013313374
R6↔R7,3,F22,,,R6-3L,0.18226672775843566,-0.3764701922445265,False,,,,,-7.456766737507557,-6.114883415471859
R6↔R7,3,F23,,,R6-3L,0.43445059349507575,-0.157960319895235,False,,,,,-5.158783990948068,-4.618282855344792
R6↔R7,5,F1,,,R6-5L,1.4018463184347286e-11,-7.592755177718338,True,,,,,112.51704257815221,12549.923704602052
R6↔R7,5,F5,,,R6-5L,1.4018463184347286e-11,-3.6242739721338255,True,,,,,3041.9248046494704,3809287.6323937606
R6↔R7,5,F11,,,R6-5L,1.4018463184347286e-11,-7.34851296247958,True,,,,,1.9207517758764945,110.30456731720027
R6↔R7,5,F21,,,R6-5L,0.9257615871902765,-0.09392588086822713,False,,,,,-5.637164765343465,-5.309958947648884
R6↔R7,5,F22,,,R6-5L,0.3737606966092958,-0.15175031340641515,False,,,,,-6.58310206396432,-6.051439768832615
R6↔R7,5,F23,,,R7-5L,0.12697903212215322,0.15908198326124,False,,,,,-5.124224259220512,-5.70214123213132
