MH,display_name,funcion,category,optimum_group_label,fitness_min,fitness_max,fitness_mean,fitness_std,fitness_median,n_runs,gap_abs_mean,time_mean,CV_pct,IQR
PSO_FCS:O1:3:I1:R2,R2-3L,F23,Fixed-dim,Optimum != 0,-10.53640981669205,-2.4217340272598484,-5.634683029825201,3.5058313528778626,-3.835426803208939,31,4.901726786866846,15.706612903225807,62.218785587778136,7.665267111462005
PSO_FCS:O1:3:I1:R2,R2-3L,F5,Multimodal,Optimum = 0,1492158.8215468433,6046648.156579757,3260129.298498886,999604.1875081288,3290706.100992739,31,3260129.298498886,24.969967741935484,30.661489038744342,1016552.8645825367
PSO_FCS:O1:3:I1:R3,R3-3L,F1,Unimodal,Optimum = 0,8188.68321864856,15924.48029361489,11549.016345977361,2354.612126869959,11517.76670989973,31,11549.016345977361,25.486,20.38798852068552,4078.5824482290354
PSO_FCS:O1:3:I1:R3,R3-3L,F11,Multimodal,Optimum = 0,75.37845618338424,153.26596692995966,103.57239715771935,19.43755992439267,99.61202606923091,31,103.57239715771935,26.509967741935483,18.767123729687636,21.14781457644338
PSO_FCS:O1:3:I1:R3,R3-3L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.786838868953628,3.414922525105091,-5.055197728932868,31,4.366360810104601,9.14716129032258,59.0118820039407,7.470339283365089
PSO_FCS:O1:3:I1:R3,R3-3L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-6.625472491494767,3.544130084554726,-5.128822796965456,31,3.7774680753238976,12.303225806451612,53.49248810714084,7.15784172967565
PSO_FCS:O1:3:I1:R3,R3-3L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-2.4217340272598484,-6.13615199883233,3.650816152978509,-5.175646741647884,31,4.400257817859718,16.046935483870968,59.496833743252054,7.729779095891543
PSO_FCS:O1:3:I1:R3,R3-3L,F5,Multimodal,Optimum = 0,1193658.5088883892,6340061.3275805805,3211648.635632065,1165407.6752829188,2919540.2376117134,31,3211648.635632065,24.916612903225804,36.28689833480374,1308250.0155236553
PSO_FCS:O1:3:I1:R4,R4-3L,F1,Unimodal,Optimum = 0,1317.8777024457263,2032.9449934586194,1756.6897566633138,180.25640705840314,1777.996061416108,31,1756.6897566633138,24.606967741935485,10.26114066952751,259.6084373118124
PSO_FCS:O1:3:I1:R4,R4-3L,F11,Multimodal,Optimum = 0,12.205986860962652,19.850291559870612,16.587624797102954,1.735913584988227,16.880572876046458,31,16.587624797102954,25.91490322580645,10.465112433043494,1.8654332080297635
PSO_FCS:O1:3:I1:R4,R4-3L,F21,Fixed-dim,Optimum != 0,-10.15315656530376,-2.630080429083235,-5.95547933302601,3.491563803707877,-5.055067739035465,31,4.197720346032219,9.246161290322581,58.627754517515804,7.469163899284397
PSO_FCS:O1:3:I1:R4,R4-3L,F22,Fixed-dim,Optimum != 0,-10.402897597426527,-1.8374521568195727,-7.025393694053523,3.611027425740474,-10.391650916846395,31,3.377546872765139,11.980709677419354,51.399645101696464,7.156225549135502
PSO_FCS:O1:3:I1:R4,R4-3L,F23,Fixed-dim,Optimum != 0,-10.5363701436294,-2.4215665229284093,-6.338488734179379,3.6948508211661526,-5.12684776814093,31,4.197921082512667,16.239290322580647,58.292299254902936,7.661541752473488
PSO_FCS:O1:3:I1:R4,R4-3L,F5,Multimodal,Optimum = 0,61321.786881226806,162131.3105859331,104964.59411855631,22400.488354935012,102696.99274000466,31,104964.59411855631,24.931387096774195,21.340994592551766,35489.25321824444
PSO_FCS:O1:3:I1:R5,R5-3L,F1,Unimodal,Optimum = 0,15.659071890318282,177.05528559740407,58.09151844175311,35.651797881142514,50.79382969116022,31,58.09151844175311,25.24467741935484,61.37177825174197,28.132843019898225
PSO_FCS:O1:3:I1:R5,R5-3L,F11,Multimodal,Optimum = 0,1.15782760508384,1.9557004478410152,1.4828519899818466,0.255031692874277,1.3798400673736126,31,1.4828519899818466,25.788193548387095,17.19872884126481,0.44491061716626135
PSO_FCS:O1:3:I1:R5,R5-3L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.630471668410894,-6.515064622109277,3.466290901993509,-5.100772140331989,31,3.638135056948953,9.113870967741937,53.20424436360056,7.470339283365091
PSO_FCS:O1:3:I1:R5,R5-3L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-6.178303180829549,3.6979431845105735,-3.7243003465070004,31,4.224637385989116,11.918677419354838,59.853702161862145,7.651007002917428
PSO_FCS:O1:3:I1:R5,R5-3L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-2.427335200074128,-6.493160482189755,3.764415006672661,-3.835426803208939,31,4.043249334502293,16.591322580645162,57.97508034797792,7.665267111462007
PSO_FCS:O1:3:I1:R5,R5-3L,F5,Multimodal,Optimum = 0,950.8339768748368,6319.586377929604,2151.3196974169678,1402.2476685369227,1637.4956136274427,31,2151.3196974169678,24.854935483870968,65.18081297821816,1375.4573991600705
PSO_FCS:O1:3:I1:R6,R6-3L,F1,Unimodal,Optimum = 0,79.73016681835675,194.2317161769916,111.31252054447813,25.409541383845305,102.47937273542084,31,111.31252054447813,24.93309677419355,22.827208708918047,35.75050538151572
PSO_FCS:O1:3:I1:R6,R6-3L,F11,Multimodal,Optimum = 0,1.6165003742407902,2.606963936542255,2.0097070362158145,0.23520438665886098,1.9951240727718988,31,2.0097070362158145,26.106612903225805,11.703416588605869,0.27347309304995715
PSO_FCS:O1:3:I1:R6,R6-3L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-6.112362302685442,3.5790199026541076,-5.100772140331989,31,4.040837376372788,9.078709677419354,58.55379189616558,7.522728010647334
PSO_FCS:O1:3:I1:R6,R6-3L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-7.456766737507556,3.5832228793436993,-10.402940566818664,31,2.9461738293111086,11.731064516129033,48.05330521229904,7.637043239039636
PSO_FCS:O1:3:I1:R6,R6-3L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-1.8594803012174992,-5.158783990948069,3.77873696269186,-2.8711427052300413,31,5.377625825743979,15.769516129032258,73.24859829995349,8.109074616617917
PSO_FCS:O1:3:I1:R6,R6-3L,F5,Multimodal,Optimum = 0,1974.5073015531264,9649.091670553782,3911.1916709887028,1559.6063548083102,3609.3611445202723,31,3911.1916709887028,24.731516129032258,39.87547750156822,1055.337002597873
PSO_FCS:O1:3:I1:R7,R7-3L,F1,Unimodal,Optimum = 0,6999.151656271153,15522.792737515456,11826.522175063361,2292.2009735385004,11442.674139942857,31,11826.522175063361,24.911354838709677,19.381868478390775,2956.1663792804156
PSO_FCS:O1:3:I1:R7,R7-3L,F11,Multimodal,Optimum = 0,68.4547285270755,173.93113936174845,109.42045148951634,23.30895053823596,106.40944805502511,31,109.42045148951634,25.767290322580646,21.30218822983856,26.26492116207291
PSO_FCS:O1:3:I1:R7,R7-3L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-6.676576013313378,3.5166902351193334,-5.100772140331989,31,3.476623665744852,9.322483870967742,52.672061669138536,7.470339283365091
PSO_FCS:O1:3:I1:R7,R7-3L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-6.114883415471859,3.5454396389574274,-5.087671825060291,31,4.288057151346805,11.709741935483871,57.98049444388044,7.644025120978533
PSO_FCS:O1:3:I1:R7,R7-3L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-2.4217340272598484,-4.618282855344792,3.0229007103146794,-3.835426803208939,31,5.918126961347254,16.113903225806453,65.45507940935757,1.2184438427716224
PSO_FCS:O1:3:I1:R7,R7-3L,F5,Multimodal,Optimum = 0,929936.4645016904,5851952.147459,3117785.1638910943,1227278.5715476642,2882600.4691988714,31,3117785.1638910943,24.71683870967742,39.36379535580257,1298182.684330848
PSO_FCS:O1:3:I1:R8,R8-3L,F1,Unimodal,Optimum = 0,141.32919736847958,443.43335990669266,244.57366896180085,66.31309530774703,226.14042085466696,31,244.57366896180085,24.428967741935484,27.113750874835286,79.17080334081618
PSO_FCS:O1:3:I1:R8,R8-3L,F11,Multimodal,Optimum = 0,2.2575041766730934,5.023650875775389,2.953074512205701,0.5530092924832688,2.774940314384865,31,2.953074512205701,26.148225806451613,18.726560748723433,0.5881148482286971
PSO_FCS:O1:3:I1:R8,R8-3L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.542700081145678,3.3613753027459636,-5.055197728932868,31,4.610499597912552,9.741612903225807,60.645087295633836,7.4965336470062125
PSO_FCS:O1:3:I1:R8,R8-3L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-6.411359935094557,3.5091653141905015,-5.128822796965455,31,3.991580631724107,11.889645161290323,54.73355652647112,7.157841729675651
PSO_FCS:O1:3:I1:R8,R8-3L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-1.8594803012174992,-6.108140498249117,3.8617946740399134,-3.835426803208939,31,4.428269318442931,16.226387096774193,63.22373683360569,8.109074616617917
PSO_FCS:O1:3:I1:R8,R8-3L,F5,Multimodal,Optimum = 0,6107.5782788353545,13768.520539888688,8719.721531205514,1916.7721181665472,8457.178468302953,31,8719.721531205514,25.107451612903226,21.98203361548807,2905.2212973602564
PSO_FCS:O1:5:I1:R1,R1-5L,F1,Unimodal,Optimum = 0,11.21346987837741,71.92472181227353,33.2607404542065,17.223493425064436,31.70635968906208,31,33.2607404542065,25.237193548387094,51.783253138269124,24.351422439139014
PSO_FCS:O1:5:I1:R1,R1-5L,F11,Multimodal,Optimum = 0,1.1085322086269553,1.7606486587503714,1.3041751153823415,0.1443604216753199,1.3042535557237749,31,1.3041751153823415,25.87990322580645,11.06909800475668,0.18066768241870812
PSO_FCS:O1:5:I1:R1,R1-5L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-6.0415646186937115,3.6188413482423183,-5.055197728932868,31,4.1116350603645175,9.260612903225807,59.89907543229709,7.470339283365089
PSO_FCS:O1:5:I1:R1,R1-5L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-1.8375929714836874,-6.96635264577396,3.6773276150980174,-10.402940566818664,31,3.4365879210447043,11.601838709677418,52.786986276510376,7.637043239039636
PSO_FCS:O1:5:I1:R1,R1-5L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-1.8594803012174992,-7.121254937812157,3.8480872335943643,-10.536409816692046,31,3.41515487887989,15.884225806451614,54.03664476554467,7.665267111462007
PSO_FCS:O1:5:I1:R1,R1-5L,F5,Multimodal,Optimum = 0,616.8353277264372,2613.8514786205383,1349.865697638768,454.7955771762496,1276.0360171265381,31,1349.865697638768,25.269709677419353,33.69191305266841,635.5566484523956
PSO_FCS:O1:5:I1:R2,R2-5L,F1,Unimodal,Optimum = 0,8179.110650425022,18054.563483045145,12329.940197032734,2631.789237199659,12428.738951828323,31,12329.940197032734,24.734290322580645,21.344703989991885,3649.8201920935426
PSO_FCS:O1:5:I1:R2,R2-5L,F11,Multimodal,Optimum = 0,69.92414083768966,144.50158793365125,116.79697836363798,19.085048525544742,118.89039986215066,31,116.79697836363798,26.50406451612903,16.340361534118617,28.676532452249944
PSO_FCS:O1:5:I1:R2,R2-5L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.630471668410894,-5.791908745787394,3.4101132148084043,-5.055197728932868,31,4.361290933270836,9.297516129032259,58.87719169071281,7.470339283365089
PSO_FCS:O1:5:I1:R2,R2-5L,F22,Fixed-dim,Optimum != 0,-10.402940566818664,-1.8375929714836874,-5.977989067179626,3.439500446883644,-5.08767182506029,31,4.424951499639038,11.8,57.53607790564891,7.637043239039636
PSO_FCS:O1:5:I1:R2,R2-5L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-1.8594803012174992,-5.631334178305125,3.7437874356008787,-2.8711427052300413,31,4.905075638386922,15.946645161290324,66.48135800613514,7.7297790958915416
PSO_FCS:O1:5:I1:R2,R2-5L,F5,Multimodal,Optimum = 0,661969.1879787529,6484645.140985101,3634390.480927242,1430575.3399978685,3427587.126310783,31,3634390.480927242,25.065129032258064,39.3621804675453,1766282.3121892968
PSO_FCS:O1:5:I1:R3,R3-5L,F1,Unimodal,Optimum = 0,6426.518701640489,16182.464863104282,11716.290489782354,2458.7066081660796,11535.988240611234,31,11716.290489782354,25.25525806451613,20.985367427602537,3694.6758148471963
PSO_FCS:O1:5:I1:R3,R3-5L,F11,Multimodal,Optimum = 0,72.82259162339221,142.22793423195807,109.65729701458729,17.428781654977776,108.60594024142577,31,109.65729701458729,26.363935483870968,15.893864001279635,26.182818455893027
PSO_FCS:O1:5:I1:R3,R3-5L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.6304716684108937,-5.158814701735528,3.530270800982353,-2.68286039569314,31,4.994384977322702,9.379161290322582,68.43182019688942,7.47033928336509
PSO_FCS:O1:5:I1:R3,R3-5L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-5.500189926387925,3.4934567968574184,-3.7243003465070004,31,4.902750640430738,11.862677419354839,63.515202995028844,7.651007002917428
PSO_FCS:O1:5:I1:R3,R3-5L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-2.427335200074128,-5.947933625068837,3.5343894514460006,-3.835426803208939,31,4.58847619162321,16.17874193548387,59.42214009499974,7.665267111462005
PSO_FCS:O1:5:I1:R3,R3-5L,F5,Multimodal,Optimum = 0,1353804.6316828,5151355.615958049,2879396.6277660723,912558.9116800061,3043329.181430922,31,2879396.6277660723,25.274,31.692713080239955,1416009.1125215003
PSO_FCS:O1:5:I1:R4,R4-5L,F1,Unimodal,Optimum = 0,1828.6085905134728,2620.21834394299,2300.6774747702157,163.7337702483987,2310.0222826050554,31,2300.6774747702157,25.23883870967742,7.116763303154951,193.44030541445773
PSO_FCS:O1:5:I1:R4,R4-5L,F11,Multimodal,Optimum = 0,18.165765160066186,25.000797715249508,21.669758419204207,1.4532096162317425,21.706955365350655,31,21.669758419204207,25.921967741935486,6.706164361038177,1.5336615472893307
PSO_FCS:O1:5:I1:R4,R4-5L,F21,Fixed-dim,Optimum != 0,-10.14112006356228,-2.6252562840759404,-6.098284860608676,3.723785299331873,-2.6811862547839937,31,4.054914818449554,9.243870967741936,61.0628297045507,7.450513984449708
PSO_FCS:O1:5:I1:R4,R4-5L,F22,Fixed-dim,Optimum != 0,-10.38613910884393,-2.7405163873461866,-6.295503126066671,3.5728010801202075,-5.116568173093889,31,4.107437440751991,11.750064516129033,56.75163697921053,7.606926476031462
PSO_FCS:O1:5:I1:R4,R4-5L,F23,Fixed-dim,Optimum != 0,-10.52704470504326,-1.85790256558591,-6.717426098467139,3.7776448141883012,-5.16385912838249,31,3.8189837182249073,15.822096774193549,56.23649235308042,7.634933455250567
PSO_FCS:O1:5:I1:R4,R4-5L,F5,Multimodal,Optimum = 0,95051.43444529737,230357.1149120889,169138.8002806009,31578.58682039314,175890.38285222254,31,169138.8002806009,24.970870967741934,18.670220415424687,35653.10684919151
PSO_FCS:O1:5:I1:R5,R5-5L,F1,Unimodal,Optimum = 0,7.632461512946319,226.58549930750584,47.65105747329347,47.85439314176456,30.075212701935005,31,47.65105747329347,24.76883870967742,100.42671806094765,33.149520679368436
PSO_FCS:O1:5:I1:R5,R5-5L,F11,Multimodal,Optimum = 0,1.0104780819545178,2.013884647378486,1.3995767508912784,0.24909133224881438,1.3675271901968264,31,1.3995767508912784,26.002225806451612,17.79761860792472,0.41798509510473614
PSO_FCS:O1:5:I1:R5,R5-5L,F21,Fixed-dim,Optimum != 0,-10.15319967905823,-2.630471668410894,-6.195649149213465,3.5212415595207256,-5.100772140331989,31,3.9575505298447653,9.638677419354838,56.83410204026394,7.470339283365091
PSO_FCS:O1:5:I1:R5,R5-5L,F22,Fixed-dim,Optimum != 0,-10.402940566818666,-2.7519335639012352,-5.0575977454584,3.249203481917463,-3.7243003465070004,31,5.345342821360264,11.659516129032259,64.24400763851116,4.999984354113032
PSO_FCS:O1:5:I1:R5,R5-5L,F23,Fixed-dim,Optimum != 0,-10.536409816692048,-1.8594803012174992,-5.532736141290695,3.801131565508047,-2.8711427052300413,31,5.003673675401353,16.021967741935484,68.7025635858591,8.10907461661792
PSO_FCS:O1:5:I1:R5,R5-5L,F5,Multimodal,Optimum = 0,538.552462737729,3719.6566418888715,1462.0892655893,718.8716002962055,1336.4268736250997,31,1462.0892655893,25.41425806451613,49.167422072992366,1007.7651950589877
