id_experimento,MH,funcion,fitness,tiempoEjecucion,paramMH,display_name,rule_set,num_labels,category,optimo,optimum_group,optimum_group_label,gap_abs
51,PSO_FCS:O1:3:I1:R1,F1,43.51915021321971,24.362,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,43.51915021321971
52,PSO_FCS:O1:3:I1:R1,F1,24.420813131661227,24.157,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,24.420813131661227
53,PSO_FCS:O1:3:I1:R1,F1,61.85108544142257,24.088,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,61.85108544142257
54,PSO_FCS:O1:3:I1:R1,F1,62.308726400968844,24.256,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,62.308726400968844
55,PSO_FCS:O1:3:I1:R1,F1,59.73211974411066,25.413,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,59.73211974411066
56,PSO_FCS:O1:3:I1:R1,F1,75.29953534408648,25.435,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,75.29953534408648
57,PSO_FCS:O1:3:I1:R1,F1,15.968669487477987,26.058,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,15.968669487477987
58,PSO_FCS:O1:3:I1:R1,F1,39.086598752951865,26.15,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,39.086598752951865
59,PSO_FCS:O1:3:I1:R1,F1,84.89607111163055,25.427,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,84.89607111163055
60,PSO_FCS:O1:3:I1:R1,F1,56.469765295744324,25.976,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,56.469765295744324
61,PSO_FCS:O1:3:I1:R1,F1,49.36822858679454,24.925,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,49.36822858679454
62,PSO_FCS:O1:3:I1:R1,F1,38.48169348668404,24.138,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R1,wMin:0.1,wMax:0.9",R1-3L,R1,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,38.48169348668404
63,PSO_FCS:O1:3:I1:R2,F1,11304.268862039173,23.778,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11304.268862039173
64,PSO_FCS:O1:3:I1:R2,F1,13181.989417363904,23.888,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,13181.989417363904
65,PSO_FCS:O1:3:I1:R2,F1,10968.620467253973,23.9,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10968.620467253973
66,PSO_FCS:O1:3:I1:R2,F1,11582.019071802748,23.994,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11582.019071802748
67,PSO_FCS:O1:3:I1:R2,F1,14775.011658385705,25.443,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,14775.011658385705
68,PSO_FCS:O1:3:I1:R2,F1,9079.45761767441,24.536,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,9079.45761767441
69,PSO_FCS:O1:3:I1:R2,F1,11671.578604077149,25.671,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11671.578604077149
70,PSO_FCS:O1:3:I1:R2,F1,4023.4982753393415,24.549,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,4023.4982753393415
71,PSO_FCS:O1:3:I1:R2,F1,8987.026663672375,26.753,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,8987.026663672375
