Diversity,Progress,w_set_A,w_set_B,w_set_C,w_set_D,Activated_Rules
0.04,0.14,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.16,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.18,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.20,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.22,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.24,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.26,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.28,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.30,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200) | low AND mid -> low (0.001)
0.04,0.32,0.3976,0.3993,0.4370,0.3743,low AND early -> medium (0.200) | low AND mid -> low (0.100)
0.04,0.34,0.3540,0.3576,0.4000,0.3420,low AND early -> medium (0.200) | low AND mid -> low (0.200)
0.04,0.36,0.3540,0.3576,0.4000,0.3420,low AND early -> medium (0.200) | low AND mid -> low (0.200)
0.04,0.38,0.3196,0.3204,0.3630,0.3044,low AND mid -> low (0.200) | low AND early -> medium (0.100)
0.04,0.40,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200) | low AND early -> medium (0.001)
0.04,0.42,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.44,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.46,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.48,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.50,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.52,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.54,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.56,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.58,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200)
0.04,0.60,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200) | low AND late -> low (0.001)
0.04,0.62,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200) | low AND late -> low (0.100)
0.04,0.64,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200) | low AND late -> low (0.200)
0.04,0.66,0.2664,0.2523,0.3000,0.2200,low AND mid -> low (0.200) | low AND late -> low (0.200)
0.04,0.68,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200) | low AND mid -> low (0.100)
0.04,0.70,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.72,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.74,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.76,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.78,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.80,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.82,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.84,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.86,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.88,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.90,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.92,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.94,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.96,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.04,0.98,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.04,1.00,0.2796,0.2600,0.3000,0.2200,low AND late -> low (0.001)
0.06,0.00,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.06,0.02,0.5000,0.5000,0.5000,0.4239,low AND early -> medium (0.100)
0.06,0.04,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.06,0.06,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.08,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.10,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.12,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.14,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.16,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.18,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.20,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.22,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.24,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.26,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.06,0.28,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
